Kernel函数名称,kernel类型,kernel来源,所属算子/模块,使用的模型列表,各模型热度级别,最高模型热度级别,模型热度得分,Kernel源码路径,Kernel行号
safe_dot,cv/cube,核心算子,GatedDeltaRule,"GatedDeltaNet,GatedDeltaProduct,MoM","S,C,C",S,5,fla/ops/gated_delta_rule/wy_fast.py,27
safe_dot,cv/cube,核心算子,GatedDeltaRule,"GatedDeltaNet,GatedDeltaProduct,MoM","S,C,C",S,5,fla/ops/gated_delta_rule/wy_fast.py,27
recompute_w_u_fwd_kernel,cv/cube,核心算子,GatedDeltaRule,"GatedDeltaNet,GatedDeltaProduct,MoM","S,C,C",S,5,fla/ops/gated_delta_rule/wy_fast.py,56
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,GatedDeltaRule,"GatedDeltaNet,GatedDeltaProduct,MoM","S,C,C",S,5,fla/ops/gated_delta_rule/wy_fast.py,132
chunk_oja_fwd_kernel_h_blockdim64,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_h.py,37
chunk_oja_bwd_kernel_dhu_blockdim64,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_h.py,264
chunk_gsa_bwd_k_kernel_dqkvg,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_h.py,527
chunk_oja_bwd_kernel_dvwg_h,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_h.py,663
chunk_scaled_dot_kkt_fwd_kernel,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_kkt.py,29
chunk_scaled_dot_kkt_fwd_kernel_intra_sub_inter,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_kkt.py,90
chunk_scaled_dot_kkt_fwd_kernel_intra_sub_intra,vv,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_kkt.py,166
chunk_scaled_dot_kkt_bwd_kernel_gk,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_kkt.py,230
chunk_oja_fwd_inter,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_o.py,33
chunk_oja_fwd_intra,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_o.py,107
chunk_oja_bwd_kernel_dA,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_o.py,262
chunk_oja_bwd_kernel_dqk,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_o.py,404
chunk_oja_bwd_kernel_dv_o,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/chunk_o.py,542
fused_recurrent_oja_fwd_kernel,vv,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/fused_recurrent.py,22
recompute_w_u_fwd_kernel,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/wy_fast.py,29
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,GatedOjaRule,,,,0,fla/ops/gated_oja_rule/wy_fast.py,108
chunk_gla_fwd_A_kernel_intra_sub_inter,cv/cube,核心算子,GLA,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","A,B,B,S,B,B,C",S,5,fla/ops/gla/chunk.py,35
chunk_gla_fwd_A_kernel_intra_sub_intra,vv,核心算子,GLA,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","A,B,B,S,B,B,C",S,5,fla/ops/gla/chunk.py,109
chunk_gla_fwd_A_kernel_intra_sub_intra_split,vv,核心算子,GLA,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","A,B,B,S,B,B,C",S,5,fla/ops/gla/chunk.py,183
chunk_gla_fwd_A_kernel_intra_sub_intra_merge,vv,核心算子,GLA,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","A,B,B,S,B,B,C",S,5,fla/ops/gla/chunk.py,262
chunk_gla_fwd_kernel_o,cv/cube,核心算子,GLA,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","A,B,B,S,B,B,C",S,5,fla/ops/gla/chunk.py,312
chunk_gla_bwd_kernel_intra,cv/cube,核心算子,GLA,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","A,B,B,S,B,B,C",S,5,fla/ops/gla/chunk.py,398
chunk_gla_bwd_kernel_dA,cv/cube,核心算子,GLA,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","A,B,B,S,B,B,C",S,5,fla/ops/gla/chunk.py,534
chunk_gla_bwd_kernel_dv,cv/cube,核心算子,GLA,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","A,B,B,S,B,B,C",S,5,fla/ops/gla/chunk.py,587
chunk_gla_bwd_kernel_inter,cv/cube,核心算子,GLA,"GLA,GSA,HGRN2,KDA,LightNet,RWKV6,Rodimus","A,B,B,S,B,B,C",S,5,fla/ops/gla/chunk.py,664
chunk_gsa_fwd_k_kernel_inter,cv/cube,核心算子,GSA,GSA,B,B,3,fla/ops/gsa/chunk.py,38
chunk_gsa_fwd_k_kernel_intra,cv/cube,核心算子,GSA,GSA,B,B,3,fla/ops/gsa/chunk.py,112
chunk_gsa_bwd_k_kernel_dA,cv/cube,核心算子,GSA,GSA,B,B,3,fla/ops/gsa/chunk.py,200
chunk_gsa_bwd_k_kernel_dqkvg,cv/cube,核心算子,GSA,GSA,B,B,3,fla/ops/gsa/chunk.py,301
chunk_gsa_bwd_k_kernel_intra_dvg,cv/cube,核心算子,GSA,GSA,B,B,3,fla/ops/gsa/chunk.py,427
fused_recurrent_gsa_inference_kernel,vv,核心算子,GSA,GSA,B,B,3,fla/ops/gsa/fused_recurrent.py,17
chunk_hgrn_fwd_kernel_h,vv,核心算子,HGRN,HGRN,A,A,4,fla/ops/hgrn/chunk.py,52
chunk_hgrn_fwd_kernel_o,vv,核心算子,HGRN,HGRN,A,A,4,fla/ops/hgrn/chunk.py,94
chunk_hgrn_bwd_kernel_h,vv,核心算子,HGRN,HGRN,A,A,4,fla/ops/hgrn/chunk.py,132
chunk_hgrn_bwd_kernel_o,vv,核心算子,HGRN,HGRN,A,A,4,fla/ops/hgrn/chunk.py,178
fused_recurrent_hgrn_fwd_kernel,vv,核心算子,HGRN,HGRN,A,A,4,fla/ops/hgrn/fused_recurrent.py,30
fused_recurrent_hgrn_bwd_kernel,vv,核心算子,HGRN,HGRN,A,A,4,fla/ops/hgrn/fused_recurrent.py,92
chunk_kda_bwd_kernel_dAv,cv/cube,核心算子,KDA,KDA,S,S,5,fla/ops/kda/chunk_bwd.py,47
chunk_kda_bwd_kernel_wy_dqkg_fused,cv/cube,核心算子,KDA,KDA,S,S,5,fla/ops/kda/chunk_bwd.py,128
chunk_kda_fwd_kernel_inter_solve_fused,cv/cube,核心算子,KDA,KDA,S,S,5,fla/ops/kda/chunk_intra.py,40
chunk_kda_bwd_kernel_intra,cv/cube,核心算子,KDA,KDA,S,S,5,fla/ops/kda/chunk_intra.py,364
chunk_kda_fwd_kernel_intra_sub_chunk,cv/cube,核心算子,KDA,KDA,S,S,5,fla/ops/kda/chunk_intra.py,640
chunk_kda_fwd_kernel_intra_token_parallel,vv,核心算子,KDA,KDA,S,S,5,fla/ops/kda/chunk_intra_token_parallel.py,30
fused_recurrent_kda_fwd_kernel,vv,核心算子,KDA,KDA,S,S,5,fla/ops/kda/fused_recurrent.py,30
kda_gate_fwd_kernel,vv,核心算子,KDA,KDA,S,S,5,fla/ops/kda/gate.py,86
kda_gate_bwd_kernel,vv,核心算子,KDA,KDA,S,S,5,fla/ops/kda/gate.py,142
kda_gate_chunk_cumsum_vector_kernel,vv,核心算子,KDA,KDA,S,S,5,fla/ops/kda/gate.py,361
recompute_w_u_fwd_kda_kernel,cv/cube,核心算子,KDA,KDA,S,S,5,fla/ops/kda/wy_fast.py,31
prepare_wy_repr_bwd_kda_kernel,cv/cube,核心算子,KDA,KDA,S,S,5,fla/ops/kda/wy_fast.py,118
chunkwise_fwd_kernel,cv/cube,核心算子,LogLinearAttn,LogLinearMamba2,C,C,2,fla/ops/log_linear_attn/chunk.py,41
copy_input_kernel,vv,核心算子,LogLinearAttn,LogLinearMamba2,C,C,2,fla/ops/log_linear_attn/chunk.py,677
copy_last_chunk_kernel,vv,核心算子,LogLinearAttn,LogLinearMamba2,C,C,2,fla/ops/log_linear_attn/chunk.py,828
chunkwise_bwd_kernel_dhg,cv/cube,核心算子,LogLinearAttn,LogLinearMamba2,C,C,2,fla/ops/log_linear_attn/chunk.py,930
chunkwise_bwd_kernel_hdqgl,cv/cube,核心算子,LogLinearAttn,LogLinearMamba2,C,C,2,fla/ops/log_linear_attn/chunk.py,1047
chunkwise_bwd_kernel_dkg,cv/cube,核心算子,LogLinearAttn,LogLinearMamba2,C,C,2,fla/ops/log_linear_attn/chunk.py,1195
chunkwise_bwd_kernel_dv,cv/cube,核心算子,LogLinearAttn,LogLinearMamba2,C,C,2,fla/ops/log_linear_attn/chunk.py,1285
chunkwise_bwd_kernel_diag,cv/cube,核心算子,LogLinearAttn,LogLinearMamba2,C,C,2,fla/ops/log_linear_attn/chunk.py,1351
chunk_update_once,cv/cube,核心算子,MesaNet,MesaNet,C,C,2,fla/ops/mesa_net/chunk_cg_solver_bwd.py,16
chunk_fwd_mesa_cg_dim64_kernel,vv,核心算子,MesaNet,MesaNet,C,C,2,fla/ops/mesa_net/chunk_cg_solver_bwd.py,36
chunk_update_once,cv/cube,核心算子,MesaNet,MesaNet,C,C,2,fla/ops/mesa_net/chunk_cg_solver_fwd.py,16
chunk_fwd_mesa_cg_dim64_kernel,vv,核心算子,MesaNet,MesaNet,C,C,2,fla/ops/mesa_net/chunk_cg_solver_fwd.py,36
chunk_mesa_net_fwd_kernel_h,cv/cube,核心算子,MesaNet,MesaNet,C,C,2,fla/ops/mesa_net/chunk_h_fwd.py,31
chunk_mesa_net_h_kk_bwd_intra_kernel,cv/cube,核心算子,MesaNet,MesaNet,C,C,2,fla/ops/mesa_net/chunk_h_kk_intra_bwd.py,19
chunk_mesa_net_h_kv_bwd_intra_kernel,cv/cube,核心算子,MesaNet,MesaNet,C,C,2,fla/ops/mesa_net/chunk_h_kv_intra_bwd.py,32
chunk_mesa_net_h_kv_bwd_intra_kernel_dkv,cv/cube,核心算子,MesaNet,MesaNet,C,C,2,fla/ops/mesa_net/chunk_h_kv_intra_bwd_separate.py,31
chunk_mesa_net_h_kv_bwd_intra_kernel_dq,cv/cube,核心算子,MesaNet,MesaNet,C,C,2,fla/ops/mesa_net/chunk_h_kv_intra_bwd_separate.py,150
mesa_net_decoding_one_step_kernel,vv,核心算子,MesaNet,MesaNet,C,C,2,fla/ops/mesa_net/decoding_one_step.py,16
parallel_nsa_compression_fwd_kernel,cv/cube,核心算子,NSA,NSA,A,A,4,fla/ops/nsa/compression.py,29
parallel_nsa_compression_bwd_kernel_dq,cv/cube,核心算子,NSA,NSA,A,A,4,fla/ops/nsa/compression.py,132
parallel_nsa_compression_bwd_kernel_dkv,cv/cube,核心算子,NSA,NSA,A,A,4,fla/ops/nsa/compression.py,236
parallel_nsa_kernel_topk,cv/cube,核心算子,NSA,NSA,A,A,4,fla/ops/nsa/parallel.py,43
parallel_nsa_fwd_kernel,cv/cube,核心算子,NSA,NSA,A,A,4,fla/ops/nsa/parallel.py,181
parallel_nsa_kernel_mask,vv,核心算子,NSA,NSA,A,A,4,fla/ops/nsa/parallel.py,271
parallel_nsa_bwd_kernel_dq,cv/cube,核心算子,NSA,NSA,A,A,4,fla/ops/nsa/parallel.py,308
parallel_nsa_bwd_kernel_dkv,cv/cube,核心算子,NSA,NSA,A,A,4,fla/ops/nsa/parallel.py,417
_compare_and_swap,vv,核心算子,NSA,NSA,A,A,4,fla/ops/nsa/utils.py,20
_bitonic_merge,vv,核心算子,NSA,NSA,A,A,4,fla/ops/nsa/utils.py,55
argsort,vv,核心算子,NSA,NSA,A,A,4,fla/ops/nsa/utils.py,81
chunk_cumprod_householder_bwd_kernel,cv/cube,核心算子,PathAttn,PaTHAttention,C,C,2,fla/ops/path_attn/cumprod_householder_bwd.py,19
chunk_cumprod_householder_fwd_kernel,cv/cube,核心算子,PathAttn,PaTHAttention,C,C,2,fla/ops/path_attn/cumprod_householder_fwd.py,19
intra_chunk_preprocess_bwd_kernel,cv/cube,核心算子,PathAttn,PaTHAttention,C,C,2,fla/ops/path_attn/intra_chunk_preprocess_bwd.py,20
chunk_transform_qk_bwd_kernel_prepare,cv/cube,核心算子,PathAttn,PaTHAttention,C,C,2,fla/ops/path_attn/intra_chunk_preprocess_bwd_prepare.py,19
intra_chunk_preprocess_fwd_kernel,cv/cube,核心算子,PathAttn,PaTHAttention,C,C,2,fla/ops/path_attn/intra_chunk_preprocess_fwd.py,19
parallel_path_bwd_dkv_kernel,cv/cube,核心算子,PathAttn,PaTHAttention,C,C,2,fla/ops/path_attn/parallel_path_bwd_inter_dkv.py,19
parallel_path_bwd_dq_kernel,cv/cube,核心算子,PathAttn,PaTHAttention,C,C,2,fla/ops/path_attn/parallel_path_bwd_inter_dqh.py,21
parallel_path_bwd_intra_chunk_kernel,cv/cube,核心算子,PathAttn,PaTHAttention,C,C,2,fla/ops/path_attn/parallel_path_bwd_intra.py,19
parallel_path_fwd_kernel,cv/cube,核心算子,PathAttn,PaTHAttention,C,C,2,fla/ops/path_attn/parallel_path_fwd.py,19
parallel_path_fwd_kernel_prepare_k_cache,cv/cube,核心算子,PathAttn,PaTHAttention,C,C,2,fla/ops/path_attn/prepare_k_cache.py,18
transform_q_fwd_kernel,cv/cube,核心算子,PathAttn,PaTHAttention,C,C,2,fla/ops/path_attn/transform_q.py,18
parallel_rebased_fwd_kernel,cv/cube,核心算子,Rebased,,,,0,fla/ops/rebased/parallel.py,18
_parallel_rebased_bwd_dq,cv/cube,核心算子,Rebased,,,,0,fla/ops/rebased/parallel.py,103
_parallel_rebased_bwd_dkv,cv/cube,核心算子,Rebased,,,,0,fla/ops/rebased/parallel.py,187
parallel_rebased_bwd_kernel,vv,核心算子,Rebased,,,,0,fla/ops/rebased/parallel.py,273
fused_recurrent_rwkv4_forward_kernel,vv,核心算子,RWKV4,,,,0,fla/ops/rwkv4/fused_recurrent.py,28
fused_recurrent_rwkv4_backward_kernel,vv,核心算子,RWKV4,,,,0,fla/ops/rwkv4/fused_recurrent.py,179
fused_recurrent_rwkv6_fwd_kernel,vv,核心算子,RWKV6,RWKV6,B,B,3,fla/ops/rwkv6/fused_recurrent.py,31
fused_recurrent_rwkv6_bwd_kernel_dq,vv,核心算子,RWKV6,RWKV6,B,B,3,fla/ops/rwkv6/fused_recurrent.py,118
fused_recurrent_rwkv6_bwd_kernel_dkv,vv,核心算子,RWKV6,RWKV6,B,B,3,fla/ops/rwkv6/fused_recurrent.py,208
fused_recurrent_rwkv6_bwd_kernel_dw,cv/cube,核心算子,RWKV6,RWKV6,B,B,3,fla/ops/rwkv6/fused_recurrent.py,306
chunk_rwkv6_fwd_cumsum_kernel,cv/cube,核心算子,RWKV6,RWKV6,B,B,3,fla/ops/rwkv6/chunk.py,45
chunk_rwkv6_fwd_A_kernel_intra_sub_inter,cv/cube,核心算子,RWKV6,RWKV6,B,B,3,fla/ops/rwkv6/chunk.py,126
chunk_rwkv6_fwd_A_kernel_intra_sub_intra,vv,核心算子,RWKV6,RWKV6,B,B,3,fla/ops/rwkv6/chunk.py,202
chunk_rwkv6_fwd_A_kernel_intra_sub_intra_split,vv,核心算子,RWKV6,RWKV6,B,B,3,fla/ops/rwkv6/chunk.py,277
chunk_rwkv6_fwd_A_kernel_intra_sub_intra_merge,vv,核心算子,RWKV6,RWKV6,B,B,3,fla/ops/rwkv6/chunk.py,358
chunk_rwkv6_bwd_kernel_dh,cv/cube,核心算子,RWKV6,RWKV6,B,B,3,fla/ops/rwkv6/chunk.py,411
chunk_rwkv6_bwd_kernel_intra,cv/cube,核心算子,RWKV6,RWKV6,B,B,3,fla/ops/rwkv6/chunk.py,492
