Kernel函数名称,kernel来源,共享算子/模块数量,共享算子/模块列表,使用模型数量,复用度级别,原始复用度得分,全局排名复用度得分,模块内排名复用度得分,是否为common目录kernel,Kernel源码路径,Kernel行号
chunk_update_once,核心算子,1,MesaNet,1,极低,1,1,1,否,fla/ops/mesa_net/chunk_cg_solver_bwd.py,16
chunk_fwd_mesa_cg_dim64_kernel,核心算子,1,MesaNet,1,极低,1,1,1,否,fla/ops/mesa_net/chunk_cg_solver_bwd.py,36
chunk_update_once,核心算子,1,MesaNet,1,极低,1,1,1,否,fla/ops/mesa_net/chunk_cg_solver_fwd.py,16
chunk_fwd_mesa_cg_dim64_kernel,核心算子,1,MesaNet,1,极低,1,1,1,否,fla/ops/mesa_net/chunk_cg_solver_fwd.py,36
chunk_mesa_net_fwd_kernel_h,核心算子,1,MesaNet,1,极低,1,1,1,否,fla/ops/mesa_net/chunk_h_fwd.py,31
chunk_mesa_net_h_kk_bwd_intra_kernel,核心算子,1,MesaNet,1,极低,1,1,1,否,fla/ops/mesa_net/chunk_h_kk_intra_bwd.py,19
chunk_mesa_net_h_kv_bwd_intra_kernel,核心算子,1,MesaNet,1,极低,1,1,1,否,fla/ops/mesa_net/chunk_h_kv_intra_bwd.py,32
chunk_mesa_net_h_kv_bwd_intra_kernel_dkv,核心算子,1,MesaNet,1,极低,1,1,1,否,fla/ops/mesa_net/chunk_h_kv_intra_bwd_separate.py,31
chunk_mesa_net_h_kv_bwd_intra_kernel_dq,核心算子,1,MesaNet,1,极低,1,1,1,否,fla/ops/mesa_net/chunk_h_kv_intra_bwd_separate.py,150
mesa_net_decoding_one_step_kernel,核心算子,1,MesaNet,1,极低,1,1,1,否,fla/ops/mesa_net/decoding_one_step.py,16
parallel_nsa_compression_fwd_kernel,核心算子,1,NSA,1,极低,1,1,1,否,fla/ops/nsa/compression.py,29
parallel_nsa_compression_bwd_kernel_dq,核心算子,1,NSA,1,极低,1,1,1,否,fla/ops/nsa/compression.py,132
parallel_nsa_compression_bwd_kernel_dkv,核心算子,1,NSA,1,极低,1,1,1,否,fla/ops/nsa/compression.py,236
parallel_nsa_kernel_topk,核心算子,1,NSA,1,极低,1,1,1,否,fla/ops/nsa/parallel.py,43
parallel_nsa_fwd_kernel,核心算子,1,NSA,1,极低,1,1,1,否,fla/ops/nsa/parallel.py,181
parallel_nsa_kernel_mask,核心算子,1,NSA,1,极低,1,1,1,否,fla/ops/nsa/parallel.py,271
parallel_nsa_bwd_kernel_dq,核心算子,1,NSA,1,极低,1,1,1,否,fla/ops/nsa/parallel.py,308
parallel_nsa_bwd_kernel_dkv,核心算子,1,NSA,1,极低,1,1,1,否,fla/ops/nsa/parallel.py,417
_compare_and_swap,核心算子,1,NSA,1,极低,1,1,1,否,fla/ops/nsa/utils.py,20
_bitonic_merge,核心算子,1,NSA,1,极低,1,1,1,否,fla/ops/nsa/utils.py,55
argsort,核心算子,1,NSA,1,极低,1,1,1,否,fla/ops/nsa/utils.py,81
chunk_cumprod_householder_bwd_kernel,核心算子,1,PathAttn,1,极低,1,1,1,否,fla/ops/path_attn/cumprod_householder_bwd.py,19
chunk_cumprod_householder_fwd_kernel,核心算子,1,PathAttn,1,极低,1,1,1,否,fla/ops/path_attn/cumprod_householder_fwd.py,19
intra_chunk_preprocess_bwd_kernel,核心算子,1,PathAttn,1,极低,1,1,1,否,fla/ops/path_attn/intra_chunk_preprocess_bwd.py,20
chunk_transform_qk_bwd_kernel_prepare,核心算子,1,PathAttn,1,极低,1,1,1,否,fla/ops/path_attn/intra_chunk_preprocess_bwd_prepare.py,19
intra_chunk_preprocess_fwd_kernel,核心算子,1,PathAttn,1,极低,1,1,1,否,fla/ops/path_attn/intra_chunk_preprocess_fwd.py,19
parallel_path_bwd_dkv_kernel,核心算子,1,PathAttn,1,极低,1,1,1,否,fla/ops/path_attn/parallel_path_bwd_inter_dkv.py,19
parallel_path_bwd_dq_kernel,核心算子,1,PathAttn,1,极低,1,1,1,否,fla/ops/path_attn/parallel_path_bwd_inter_dqh.py,21
parallel_path_bwd_intra_chunk_kernel,核心算子,1,PathAttn,1,极低,1,1,1,否,fla/ops/path_attn/parallel_path_bwd_intra.py,19
parallel_path_fwd_kernel,核心算子,1,PathAttn,1,极低,1,1,1,否,fla/ops/path_attn/parallel_path_fwd.py,19
parallel_path_fwd_kernel_prepare_k_cache,核心算子,1,PathAttn,1,极低,1,1,1,否,fla/ops/path_attn/prepare_k_cache.py,18
transform_q_fwd_kernel,核心算子,1,PathAttn,1,极低,1,1,1,否,fla/ops/path_attn/transform_q.py,18
parallel_rebased_fwd_kernel,核心算子,1,Rebased,0,极低,1,1,1,否,fla/ops/rebased/parallel.py,18
_parallel_rebased_bwd_dq,核心算子,1,Rebased,0,极低,1,1,1,否,fla/ops/rebased/parallel.py,103
_parallel_rebased_bwd_dkv,核心算子,1,Rebased,0,极低,1,1,1,否,fla/ops/rebased/parallel.py,187
parallel_rebased_bwd_kernel,核心算子,1,Rebased,0,极低,1,1,1,否,fla/ops/rebased/parallel.py,273
fused_recurrent_rwkv4_forward_kernel,核心算子,1,RWKV4,0,极低,1,1,1,否,fla/ops/rwkv4/fused_recurrent.py,28
fused_recurrent_rwkv4_backward_kernel,核心算子,1,RWKV4,0,极低,1,1,1,否,fla/ops/rwkv4/fused_recurrent.py,179
fused_recurrent_rwkv6_fwd_kernel,核心算子,2,"RWKV6,generalized_delta_rule",1,中,3,3,3,否,fla/ops/rwkv6/fused_recurrent.py,31
fused_recurrent_rwkv6_bwd_kernel_dq,核心算子,2,"RWKV6,generalized_delta_rule",1,中,3,3,3,否,fla/ops/rwkv6/fused_recurrent.py,118
fused_recurrent_rwkv6_bwd_kernel_dkv,核心算子,2,"RWKV6,generalized_delta_rule",1,中,3,3,3,否,fla/ops/rwkv6/fused_recurrent.py,208
fused_recurrent_rwkv6_bwd_kernel_dw,核心算子,2,"RWKV6,generalized_delta_rule",1,中,3,3,3,否,fla/ops/rwkv6/fused_recurrent.py,306
chunk_rwkv6_fwd_cumsum_kernel,核心算子,2,"RWKV6,generalized_delta_rule",1,中,3,3,3,否,fla/ops/rwkv6/chunk.py,45
chunk_rwkv6_fwd_A_kernel_intra_sub_inter,核心算子,2,"RWKV6,generalized_delta_rule",1,中,3,3,3,否,fla/ops/rwkv6/chunk.py,126
chunk_rwkv6_fwd_A_kernel_intra_sub_intra,核心算子,2,"RWKV6,generalized_delta_rule",1,中,3,3,3,否,fla/ops/rwkv6/chunk.py,202
chunk_rwkv6_fwd_A_kernel_intra_sub_intra_split,核心算子,2,"RWKV6,generalized_delta_rule",1,中,3,3,3,否,fla/ops/rwkv6/chunk.py,277
chunk_rwkv6_fwd_A_kernel_intra_sub_intra_merge,核心算子,2,"RWKV6,generalized_delta_rule",1,中,3,3,3,否,fla/ops/rwkv6/chunk.py,358
chunk_rwkv6_bwd_kernel_dh,核心算子,2,"RWKV6,generalized_delta_rule",1,中,3,3,3,否,fla/ops/rwkv6/chunk.py,411
chunk_rwkv6_bwd_kernel_intra,核心算子,2,"RWKV6,generalized_delta_rule",1,中,3,3,3,否,fla/ops/rwkv6/chunk.py,492
chunk_rwkv6_bwd_kernel_inter,核心算子,2,"RWKV6,generalized_delta_rule",1,中,3,3,3,否,fla/ops/rwkv6/chunk.py,633
rwkv_seq_mix_kernel,核心算子,1,RWKV7,1,极低,1,1,1,否,fla/ops/rwkv7/channel_mixing.py,38
rwkv_channel_mixing_pow_and_relu,核心算子,1,RWKV7,1,极低,1,1,1,否,fla/ops/rwkv7/channel_mixing.py,83
relu_square_bwd_kernel,核心算子,1,RWKV7,1,极低,1,1,1,否,fla/ops/rwkv7/channel_mixing.py,173
rwkv_mix_bwd_kenel,核心算子,1,RWKV7,1,极低,1,1,1,否,fla/ops/rwkv7/channel_mixing.py,205
fused_addcmul_fwd_kernel,核心算子,1,RWKV7,1,极低,1,1,1,否,fla/ops/rwkv7/fused_addcmul.py,53
addcmul_bwd_kernel1,核心算子,1,RWKV7,1,极低,1,1,1,否,fla/ops/rwkv7/fused_addcmul.py,113
k_update_fwd_kernel_short,核心算子,1,RWKV7,1,极低,1,1,1,否,fla/ops/rwkv7/fused_k_update.py,32
k_update_fwd_kernel_long,核心算子,1,RWKV7,1,极低,1,1,1,否,fla/ops/rwkv7/fused_k_update.py,75
k_update_bwd_kernel_short,核心算子,1,RWKV7,1,极低,1,1,1,否,fla/ops/rwkv7/fused_k_update.py,122
k_update_bwd_kernel_long,核心算子,1,RWKV7,1,极低,1,1,1,否,fla/ops/rwkv7/fused_k_update.py,174
fused_recurrent_rwkv7_fwd_kernel,核心算子,1,RWKV7,1,极低,1,1,1,否,fla/ops/rwkv7/fused_recurrent.py,35
gate_output_correction_fwd_kernel,核心算子,1,RWKV7,1,极低,1,1,1,否,fla/ops/rwkv7/gate_output_correction.py,73
gate_output_correction_bwd_kernel,核心算子,1,RWKV7,1,极低,1,1,1,否,fla/ops/rwkv7/gate_output_correction.py,125
parallel_simple_gla_fwd_kernel,核心算子,1,SimpleGLA,2,低,2,2,2,否,fla/ops/simple_gla/parallel.py,47
